Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
6h 4d 2h,5h,Ah6d,0.991,70.35,9.97281,118.128,0.37,9.63,95.12,9.97,4.51,9.97
6h 4d 2h,5h,Ah7d,0.813,47.63,8.83964,154.655,14.27,8.84,85.56,8.84,0.16,7.90
6h 4d 2h,5h,Ah8d,0.657,46.11,8.23969,148.899,2.60,8.22,97.26,8.24,0.14,7.15
6h 4d 2h,5h,Ah9d,0.553,42.96,7.43831,144.283,9.79,7.44,90.04,7.44,0.17,6.40
6h 4d 2h,5h,AhTd,0.609,46.06,7.62622,137.982,0.55,7.60,99.26,7.63,0.19,6.75
6h 4d 2h,5h,AhJd,0.623,48.81,7.79643,133.11,0.75,7.75,99.01,7.80,0.24,7.08
6h 4d 2h,5h,AhQd,0.665,51.84,8.04832,129.388,1.28,8.02,98.37,8.05,0.35,7.52
6h 4d 2h,5h,AhKd,0.650,55.36,8.35665,125.79,10.96,8.34,88.41,8.36,0.62,8.00
6h 4d 2h,5h,AhAd,0.997,81.57,12.8035,130.8,0.32,12.23,64.28,12.81,35.39,12.81
6h 4d 2h,5h,Ah3h,0.995,100.00,25.5911,213.26,12.82,25.58,86.99,25.59,0.20,24.87
6h 4d 2h,5h,Ah4h,0.991,100.00,26.0319,216.933,6.65,26.02,93.22,26.03,0.13,25.51
6h 4d 2h,5h,Ah7h,0.991,99.89,25.5559,213.192,9.94,25.55,89.87,25.56,0.19,24.89
6h 4d 2h,5h,Ah8h,0.992,99.89,25.6784,214.215,15.02,25.68,84.78,25.68,0.20,25.04
6h 4d 2h,5h,Ah9h,0.934,99.89,25.8478,215.631,9.66,25.84,90.19,25.85,0.15,25.04
6h 4d 2h,5h,AhTh,0.830,99.89,26.2819,219.254,51.20,26.28,48.62,26.29,0.18,25.57
6h 4d 2h,5h,AhJh,0.772,99.89,25.5251,212.943,12.78,25.52,87.02,25.53,0.20,24.95
6h 4d 2h,5h,AhQh,0.750,99.90,25.0962,209.35,4.04,25.09,95.74,25.10,0.23,24.67
6h 4d 2h,5h,AhKh,0.202,99.89,23.799,198.546,0.29,23.29,83.39,23.80,16.32,23.80
6h 4d 2h,5h,Ah2s,0.761,57.71,8.41958,121.57,17.50,8.42,79.71,8.42,2.79,8.29
6h 4d 2h,5h,Ah3s,0.828,90.15,16.2419,150.142,0.29,15.66,93.20,16.24,6.50,16.24
6h 4d 2h,5h,Ah4s,0.483,61.27,8.6933,118.243,95.16,8.70,1.56,8.64,3.28,8.65
6h 4d 2h,5h,Ah5s,0.826,66.29,9.24455,116.212,2.81,9.24,4.91,9.20,92.28,9.25
6h 4d 2h,5h,Ah6s,0.992,70.33,9.96009,118.014,0.38,9.64,93.14,9.96,6.48,9.96
6h 4d 2h,5h,Ah7s,0.934,47.91,8.82436,153.476,23.82,8.83,76.00,8.83,0.18,7.94
6h 4d 2h,5h,Ah8s,0.860,46.33,8.24833,148.352,8.76,8.24,91.09,8.25,0.15,7.18
6h 4d 2h,5h,Ah9s,0.709,43.30,7.45951,143.554,22.03,7.46,77.79,7.46,0.18,6.44
6h 4d 2h,5h,AhTs,0.632,46.12,7.63286,137.921,0.55,7.60,99.26,7.63,0.19,6.75
6h 4d 2h,5h,AhJs,0.727,49.12,7.84053,133.021,0.74,7.80,99.03,7.84,0.23,7.11
6h 4d 2h,5h,AhQs,0.701,52.31,8.07813,128.681,1.07,8.04,98.57,8.08,0.36,7.56
6h 4d 2h,5h,AhKs,0.677,55.82,8.3865,125.211,18.14,8.38,81.13,8.39,0.73,8.06
6h 4d 2h,5h,2s2c,0.999,75.66,12.955,142.693,1.07,12.90,98.38,12.96,0.56,12.73
6h 4d 2h,5h,2s2d,0.999,75.67,12.9522,142.648,1.03,12.90,98.41,12.95,0.56,12.73
6h 4d 2h,5h,3s3c,0.446,80.03,12.8251,133.547,0.18,12.12,99.23,12.83,0.60,12.67
6h 4d 2h,5h,3s3d,0.434,80.00,12.8139,133.476,0.18,12.11,99.21,12.82,0.61,12.66
6h 4d 2h,5h,3s3h,0.696,82.29,13.7305,139.038,0.32,13.40,99.30,13.73,0.39,13.49
6h 4d 2h,5h,4s4c,0.999,75.29,12.9891,143.761,0.70,12.88,98.82,12.99,0.48,12.78
6h 4d 2h,5h,4s4h,0.999,79.52,14.1211,147.975,17.84,14.12,81.69,14.12,0.47,13.83
6h 4d 2h,5h,5s5c,0.493,75.33,12.9143,142.868,10.83,12.91,88.37,12.92,0.80,12.70
