Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 4d 2h,Js,KhTs,0.375,29.25,1.79091,51.0255,4.10,3.94,1.83,3.85,94.07,1.66
Jh 4d 2h,Js,KhQs,0.502,30.14,1.75033,48.39,0.44,3.92,0.33,3.81,99.23,1.73
Jh 4d 2h,Js,Ah2c,0.937,58.72,6.8351,96.9997,0.11,5.18,0.18,6.42,99.72,6.84
Jh 4d 2h,Js,Ah3c,0.982,41.73,5.18304,103.506,58.80,5.65,2.31,5.54,38.89,4.46
Jh 4d 2h,Js,Ah4c,0.785,65.76,8.29246,105.092,0.10,6.54,2.87,7.73,97.03,8.31
Jh 4d 2h,Js,Ah5c,0.978,44.89,5.26752,97.7756,24.47,6.01,16.72,5.92,58.81,4.77
Jh 4d 2h,Js,Ah6c,0.961,41.03,4.53738,92.1504,3.77,4.88,54.20,4.78,42.04,4.20
Jh 4d 2h,Js,Ah7c,0.946,43.03,4.74161,91.8172,5.09,4.98,9.32,4.87,85.59,4.71
Jh 4d 2h,Js,Ah8c,0.608,45.04,4.85309,89.7963,0.88,4.98,1.08,4.88,98.05,4.85
Jh 4d 2h,Js,Ah9c,0.069,47.69,5.29028,92.4384,0.39,5.02,0.33,4.97,99.29,5.29
Jh 4d 2h,Js,AhTc,0.084,50.76,5.64616,92.6932,0.20,5.05,0.24,5.38,99.56,5.65
Jh 4d 2h,Js,AhJc,0.844,97.04,18.5285,159.111,91.26,18.52,8.61,18.62,0.13,20.23
Jh 4d 2h,Js,AhQc,0.550,53.94,4.90959,75.8426,0.11,5.10,0.31,5.90,99.58,4.91
Jh 4d 2h,Js,AhKc,0.671,57.12,5.85644,85.4406,0.10,5.04,0.25,6.25,99.64,5.86
Jh 4d 2h,Js,AhAc,0.998,85.21,13.7238,134.211,0.88,11.93,0.37,11.91,98.75,13.75
Jh 4d 2h,Js,Ah2d,0.844,58.72,6.85573,97.2894,0.11,5.20,0.18,6.43,99.71,6.86
Jh 4d 2h,Js,Ah3d,0.981,41.73,4.89046,97.6522,49.74,5.65,2.30,5.54,47.96,4.07
Jh 4d 2h,Js,Ah5d,0.972,44.90,4.76506,88.4295,21.61,6.01,10.35,5.93,68.04,4.19
Jh 4d 2h,Js,Ah6d,0.958,41.04,3.97869,80.7927,2.94,4.89,11.21,4.79,85.85,3.84
Jh 4d 2h,Js,Ah7d,0.946,43.03,4.73925,91.7895,3.36,4.99,4.06,4.87,92.58,4.72
Jh 4d 2h,Js,Ah8d,0.656,45.03,4.418,81.7573,0.82,4.99,1.00,4.88,98.17,4.41
Jh 4d 2h,Js,Ah9d,0.106,47.67,3.43625,60.0685,0.34,5.04,0.27,5.02,99.39,3.43
Jh 4d 2h,Js,AhTd,0.077,50.76,5.15003,84.5506,0.19,5.06,0.24,5.38,99.56,5.15
Jh 4d 2h,Js,AhJd,0.829,97.03,18.5681,159.478,94.71,18.56,5.17,18.67,0.12,20.21
Jh 4d 2h,Js,AhQd,0.335,53.78,4.21793,65.3614,0.11,5.08,0.28,5.87,99.62,4.21
Jh 4d 2h,Js,AhKd,0.468,57.06,5.10559,74.5626,0.10,5.06,0.26,6.25,99.64,5.10
Jh 4d 2h,Js,AhAd,0.998,85.12,13.6781,133.905,0.76,11.86,0.32,11.94,98.92,13.70
Jh 4d 2h,Js,Ah3h,0.996,53.56,8.18296,127.313,37.02,8.25,61.94,8.17,1.04,6.92
Jh 4d 2h,Js,Ah4h,0.989,73.06,10.172,116.027,0.14,9.41,98.95,10.17,0.91,11.00
Jh 4d 2h,Js,Ah5h,0.996,56.17,8.62438,127.953,66.39,8.66,32.95,8.58,0.66,7.23
Jh 4d 2h,Js,Ah6h,0.970,53.48,7.60411,118.491,40.32,7.67,57.83,7.58,1.85,6.90
Jh 4d 2h,Js,Ah7h,0.963,54.89,7.7172,117.152,89.54,7.74,9.05,7.61,1.41,6.71
Jh 4d 2h,Js,Ah8h,0.946,56.49,7.76188,114.512,90.67,7.78,6.77,7.64,2.56,7.27
Jh 4d 2h,Js,Ah9h,0.766,58.77,6.94837,98.5203,10.24,7.95,4.03,7.89,85.73,6.78
Jh 4d 2h,Js,AhTh,0.616,61.34,8.06721,109.6,1.33,8.04,82.13,8.26,16.54,7.13
Jh 4d 2h,Js,AhQh,0.731,63.50,7.39322,97.0293,0.29,7.99,0.38,8.49,99.34,7.39
Jh 4d 2h,Js,AhKh,0.438,65.76,7.69221,97.4712,0.14,7.72,1.01,8.68,98.86,7.68
Jh 4d 2h,Js,Ah2s,0.937,58.72,6.83486,96.9962,0.11,5.18,0.18,6.42,99.72,6.84
Jh 4d 2h,Js,Ah3s,0.982,41.73,5.18011,103.448,58.52,5.65,2.34,5.54,39.14,4.46
Jh 4d 2h,Js,Ah4s,0.785,65.76,8.294,105.111,0.10,6.54,2.87,7.73,97.03,8.31
Jh 4d 2h,Js,Ah5s,0.978,44.89,5.31116,98.5856,24.25,6.01,20.78,5.92,54.97,4.77
Jh 4d 2h,Js,Ah6s,0.961,41.03,4.54393,92.2836,3.77,4.88,55.13,4.78,41.10,4.20
