Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah 8d 2c,Qc,JsTd,0.660,26.23,1.80858,114.917,46.78,1.81,46.15,1.81,7.07,1.80
Ah 8d 2c,Qc,JsTh,0.639,26.24,1.81114,115.055,48.36,1.81,44.70,1.81,6.94,1.81
Ah 8d 2c,Qc,Js8s,0.845,44.97,1.61017,59.6789,0.67,1.50,3.84,1.60,95.49,1.61
Ah 8d 2c,Qc,Js9s,0.830,16.84,0.99679,98.6562,12.60,0.99,30.35,1.00,57.05,1.00
Ah 8d 2c,Qc,JsTs,0.602,26.12,1.78611,113.963,50.09,1.78,41.87,1.79,8.04,1.78
Ah 8d 2c,Qc,QsTc,0.724,60.02,2.71422,75.3686,0.50,2.60,6.37,2.71,93.13,2.72
Ah 8d 2c,Qc,QsJc,0.789,61.23,2.84211,77.3654,0.37,2.61,14.90,2.84,84.73,2.84
Ah 8d 2c,Qc,QsTd,0.709,59.74,2.6955,75.1994,0.46,2.56,0.50,2.69,99.04,2.70
Ah 8d 2c,Qc,QsJd,0.781,60.96,2.82347,77.1923,0.34,2.57,15.34,2.82,84.32,2.82
Ah 8d 2c,Qc,QsTh,0.692,59.76,2.69385,75.1324,0.47,2.56,0.88,2.69,98.66,2.69
Ah 8d 2c,Qc,QsJh,0.689,61.05,2.8315,77.3062,0.34,2.58,10.90,2.83,88.76,2.83
Ah 8d 2c,Qc,Qs8s,0.927,85.95,7.51573,145.74,90.88,7.52,8.87,7.51,0.25,7.02
Ah 8d 2c,Qc,Qs9s,0.977,57.94,2.57112,73.9655,0.34,2.35,0.39,2.53,99.28,2.57
Ah 8d 2c,Qc,QsTs,0.769,59.64,2.67725,74.8166,0.47,2.55,0.76,2.67,98.77,2.68
Ah 8d 2c,Qc,QsJs,0.809,60.84,2.80636,76.8825,0.34,2.55,8.67,2.81,90.99,2.81
Ah 8d 2c,Qc,KsTc,0.879,28.43,0.93547,54.8393,20.94,0.94,53.56,0.94,25.50,0.93
Ah 8d 2c,Qc,KsJc,0.983,31.67,1.05128,55.3234,10.73,1.05,31.13,1.05,58.15,1.05
Ah 8d 2c,Qc,KsTd,0.831,28.26,0.89869,53.0009,10.61,0.90,32.59,0.90,56.80,0.90
Ah 8d 2c,Qc,KsJd,0.983,31.49,1.02069,54.0204,5.21,1.02,20.98,1.02,73.81,1.02
Ah 8d 2c,Qc,KsQd,0.992,63.11,3.05664,80.7221,0.16,2.38,0.14,2.97,99.70,3.06
Ah 8d 2c,Qc,KsTh,0.858,28.26,0.89764,52.9373,12.84,0.90,36.22,0.90,50.94,0.90
Ah 8d 2c,Qc,KsJh,0.980,31.56,1.02512,54.1416,6.26,1.03,23.40,1.02,70.33,1.03
Ah 8d 2c,Qc,KsQh,0.992,63.12,3.0586,80.7607,0.16,2.35,0.14,2.97,99.70,3.06
Ah 8d 2c,Qc,Ks2s,0.695,30.66,1.09718,59.6403,50.23,1.10,47.12,1.10,2.65,1.03
Ah 8d 2c,Qc,Ks3s,0.849,14.10,0.41141,48.6331,0.37,0.14,0.56,0.38,99.07,0.41
Ah 8d 2c,Qc,Ks4s,0.819,14.20,0.41393,48.5893,0.36,0.14,0.55,0.38,99.09,0.42
Ah 8d 2c,Qc,Ks5s,0.932,14.14,0.39684,46.7635,0.28,0.06,0.41,0.32,99.31,0.40
Ah 8d 2c,Qc,Ks6s,0.974,14.25,0.35422,41.4199,0.25,-0.03,0.36,0.26,99.39,0.36
Ah 8d 2c,Qc,Ks7s,0.982,14.46,0.32832,37.8364,0.24,-0.07,0.33,0.24,99.43,0.33
Ah 8d 2c,Qc,Ks8s,0.842,45.14,1.64312,60.6738,0.19,1.09,0.24,1.52,99.57,1.64
Ah 8d 2c,Qc,Ks9s,0.989,17.99,0.37748,34.9686,0.16,-0.21,0.23,0.20,99.61,0.38
Ah 8d 2c,Qc,KsTs,0.962,28.12,0.88436,52.4113,10.58,0.88,29.52,0.89,59.89,0.88
Ah 8d 2c,Qc,KsJs,0.984,31.37,1.01391,53.8635,4.67,1.00,16.14,1.01,79.18,1.01
Ah 8d 2c,Qc,KsQs,0.992,63.07,3.04549,80.4793,0.15,2.32,0.14,2.95,99.71,3.05
