Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 21%,RAISE 21 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,7h,Ac8s,0.393,79.15,17.2885,182.023,45.45,17.30,54.55,17.28,0.01,0.00
Ah 8d 2c,7h,Ac9s,0.592,43.79,0.41315,7.86168,0.04,0.26,99.06,0.42,0.90,0.00
Ah 8d 2c,7h,AcTs,0.715,44.43,0.52778,9.89915,0.39,0.52,99.14,0.53,0.47,0.00
Ah 8d 2c,7h,AcJs,0.708,47.85,1.82844,31.8441,0.16,1.05,99.78,1.83,0.07,0.00
Ah 8d 2c,7h,6d6c,0.705,24.31,-0.00292,-0.10024,0.07,-2.91,0.03,-2.84,99.90,0.00
Ah 8d 2c,7h,6d5d,0.125,19.95,1.3023,54.4107,99.37,1.31,0.62,0.83,0.01,0.00
Ah 8d 2c,7h,7d7c,0.631,85.99,24.3151,235.639,99.38,24.32,0.62,23.65,0.00,0.00
Ah 8d 2c,7h,7d6d,0.242,28.39,-0.00323,-0.09492,0.01,-1.63,0.17,-1.74,99.81,0.00
Ah 8d 2c,7h,9d9c,0.686,32.87,-0.00319,-0.0809,0.03,-1.55,0.23,-1.15,99.73,0.00
Ah 8d 2c,7h,TdTc,0.826,34.77,-0.00322,-0.07722,0.02,-0.77,0.45,-0.68,99.53,0.00
Ah 8d 2c,7h,Td9d,0.371,22.54,0.65977,24.3894,11.81,0.66,88.03,0.66,0.17,0.00
Ah 8d 2c,7h,JdTc,0.022,22.15,-0.00285,-0.10726,0.16,-1.60,0.02,-1.37,99.82,0.00
Ah 8d 2c,7h,Jd9d,0.474,18.06,-0.00297,-0.1373,0.13,-1.96,0.02,-2.05,99.85,0.00
Ah 8d 2c,7h,JdTd,0.424,22.06,-0.00273,-0.10313,0.17,-1.47,0.02,-1.39,99.81,0.00
Ah 8d 2c,7h,JdTh,0.063,21.21,-0.00295,-0.1159,0.16,-1.63,0.02,-1.49,99.82,0.00
Ah 8d 2c,7h,JdTs,0.244,22.04,-0.00289,-0.10931,0.16,-1.63,0.02,-1.40,99.82,0.00
Ah 8d 2c,7h,QdTc,0.003,16.25,-0.0028,-0.1438,0.06,-4.25,0.00,-4.67,99.93,0.00
Ah 8d 2c,7h,QdJc,0.004,17.49,-0.00287,-0.13663,0.06,-4.70,0.00,-4.53,99.94,0.00
Ah 8d 2c,7h,Qd9d,0.124,14.96,-0.00288,-0.16065,0.06,-4.73,0.00,-5.01,99.94,0.00
Ah 8d 2c,7h,QdTd,0.402,16.10,-0.00277,-0.1436,0.06,-4.15,0.00,-4.70,99.93,0.00
Ah 8d 2c,7h,QdJd,0.527,17.02,-0.00277,-0.13569,0.06,-4.49,0.00,-4.56,99.94,0.00
Ah 8d 2c,7h,QdTh,0.003,14.48,-0.00292,-0.16826,0.06,-4.63,0.00,-4.96,99.94,0.00
Ah 8d 2c,7h,QdJh,0.004,14.18,-0.0029,-0.1707,0.05,-5.11,0.00,-5.07,99.94,0.00
Ah 8d 2c,7h,QdTs,0.003,16.08,-0.00282,-0.14626,0.06,-4.28,0.00,-4.71,99.93,0.00
Ah 8d 2c,7h,QdJs,0.012,16.93,-0.00286,-0.14091,0.06,-4.68,0.00,-4.58,99.94,0.00
Ah 8d 2c,7h,KdTc,0.002,20.00,-0.00282,-0.11753,0.07,-3.72,0.01,-4.05,99.93,0.00
Ah 8d 2c,7h,KdJc,0.003,20.92,-0.00288,-0.11473,0.06,-4.21,0.01,-3.98,99.93,0.00
Ah 8d 2c,7h,KdQc,0.004,20.80,-0.00292,-0.11698,0.06,-4.15,0.01,-3.98,99.93,0.00
Ah 8d 2c,7h,Kd2d,0.358,24.23,-0.00262,-0.0901,0.12,-0.89,0.08,-2.09,99.81,0.00
Ah 8d 2c,7h,Kd3d,0.223,17.38,-0.00288,-0.13812,0.06,-4.15,0.01,-4.60,99.93,0.00
Ah 8d 2c,7h,Kd4d,0.225,17.52,-0.00291,-0.13834,0.06,-4.30,0.01,-4.59,99.93,0.00
Ah 8d 2c,7h,Kd5d,0.295,17.56,-0.0029,-0.13746,0.06,-4.17,0.01,-4.56,99.93,0.00
Ah 8d 2c,7h,Kd6d,0.002,17.96,-0.00287,-0.13328,0.06,-4.15,0.01,-4.45,99.93,0.00
Ah 8d 2c,7h,Kd7d,0.003,30.24,-0.00338,-0.09326,0.01,-1.51,0.22,-1.45,99.77,0.00
